station,week_r,year_r,monitor_read
D.C.E.,22,2012,0.0
D.C.E.,22,2013,0.0
D.C.E.,22,2014,0.0
D.C.E.,22,2015,0.0
D.C.E.,23,2012,0.0
D.C.E.,23,2013,0.0
D.C.E.,23,2014,0.0
D.C.E.,23,2015,0.0
D.C.E.,24,2012,0.0
D.C.E.,24,2013,0.0
D.C.E.,24,2014,0.0
D.C.E.,24,2015,0.0
D.C.E.,25,2012,0.0
D.C.E.,25,2013,0.0
D.C.E.,25,2014,0.0
D.C.E.,25,2015,0.0
D.C.E.,26,2012,0.0
D.C.E.,26,2013,0.0
D.C.E.,26,2014,0.0
D.C.E.,26,2015,0.0
D.C.E.,27,2012,0.0
D.C.E.,27,2013,0.0
D.C.E.,27,2014,0.0
D.C.E.,27,2015,0.0
D.C.E.,28,2012,0.0
D.C.E.,28,2013,0.0
D.C.E.,28,2014,0.0
D.C.E.,28,2015,0.0
D.C.E.,29,2012,0.0
D.C.E.,29,2013,0.0
D.C.E.,29,2014,0.0
D.C.E.,29,2015,0.0
D.C.E.,30,2012,0.0
D.C.E.,30,2013,0.0
D.C.E.,30,2014,0.0
D.C.E.,30,2015,0.0
D.C.E.,31,2012,0.0
D.C.E.,31,2013,0.0
D.C.E.,31,2014,0.0
D.C.E.,31,2015,0.0
D.C.E.,32,2012,0.0
D.C.E.,32,2013,0.0
D.C.E.,32,2014,0.0
D.C.E.,32,2015,0.0
D.C.E.,33,2012,0.0
D.C.E.,33,2013,0.0
D.C.E.,33,2014,0.0
D.C.E.,33,2015,0.0
D.C.E.,34,2012,0.0
D.C.E.,34,2013,0.0
D.C.E.,34,2014,0.0
D.C.E.,34,2015,0.0
D.C.E.,35,2012,0.0
D.C.E.,35,2013,0.0
D.C.E.,35,2014,0.0
D.C.E.,35,2015,0.0
D.C.E.,36,2012,0.0
D.C.E.,36,2013,0.0
D.C.E.,36,2014,0.0
D.C.E.,36,2015,0.0
D.C.E.,37,2012,0.0
D.C.E.,37,2013,0.0
D.C.E.,37,2014,0.0
D.C.E.,37,2015,0.0
D.C.E.,38,2012,0.0
D.C.E.,38,2013,0.0
D.C.E.,38,2014,0.0
D.C.E.,38,2015,0.0
D.C.E.,39,2012,0.0
D.C.E.,39,2013,0.0
D.C.E.,39,2014,0.0
D.C.E.,39,2015,0.0
D.C.E.,40,2012,0.0
D.C.E.,40,2013,0.0
D.C.E.,40,2014,0.0
D.C.E.,40,2015,0.0
D.C.E.,41,2012,0.0
D.C.E.,41,2013,0.0
D.C.E.,41,2014,0.0
D.C.E.,41,2015,0.0
D.C.E.,42,2012,0.0
D.C.E.,42,2013,0.0
D.C.E.,42,2014,0.0
D.C.E.,42,2015,0.0
D.C.E.,43,2012,0.0
D.C.E.,43,2013,0.0
D.C.E.,43,2014,0.0
D.C.E.,43,2015,0.0
D.C.E.,44,2012,0.0
D.C.E.,44,2013,0.0
D.C.E.,44,2014,0.0
D.C.E.,44,2015,0.0
D.C.E.,45,2012,0.0
D.C.E.,45,2013,0.0
D.C.E.,45,2014,0.0
D.C.E.,45,2015,0.0
D.C.E.,46,2012,0.0
D.C.E.,46,2013,0.0
D.C.E.,46,2014,0.0
D.C.E.,46,2015,0.0
D.C.E.,47,2012,0.0
D.C.E.,47,2013,0.0
D.C.E.,47,2014,0.0
D.C.E.,47,2015,0.0
